Article_Headline,Statement_Filipino,Statement_English,Rating,Statement_Filipino_Language,Statement_English_Language
"vera files fact check: marcos, tulfo not closing down naia",“KAKAPASOK LANG SAWAKAS  NAIA SARADO NA! SEN TULFO SUMABOG sa GALIT NILUSOB ang NAIA mga BUWAYA IYAK .”,sic,Fake,TAGALOG,ENGLISH
vera files fact check: claim about a ph-us deal to build a nuclear facility misleads,"“Breaking news! Pilipinas, magkaka-nuclear na! Biden, nakaplano na ang uumpisahang deal kasama si President Ferdinand Marcos Jr. tungkol sa itatayong nuclear facility sa Pilipinas !”",The Philippines will now have nuclear [energy]! [U.S. President Joe] Biden has planned a deal with President Ferdinand Marcos Jr. about a nuclear facility to be built in the Philippines,Fake,TAGALOG,ENGLISH
vera files fact check: false video links hontiveros to 2014 philhealth bonus controversy anew,“KAKAPASOK LANG PRES MARCOS MARCOLETA HAWAK ang mga DOCUMENTO HONTlVEROS SC HlNATULAN PHILHEALTH 2014 .”,JUST IN PRES MARCOS MARCOLETA HAVE THE DOCUMENTS HONTIVEROS SC RELEASED VERDICT [on] PHILHEALTH 2014,Fake,TAGALOG,TAGALOG
"vera files fact check: us, ph soldiers did not expel chinese ships from south china sea","“US AT PILIPINAS, NAGPADALA NG 17,680 NA SUNDALO SA SOUTH CHINA SEA! MGA CHINESE BOATS NAPAALIS NA !”","U.S. and the Philippines sent 17,680 soldiers to the South China Sea! Chinese boats driven out",Fake,TAGALOG,ENGLISH
vera files fact check: marcos did not shut down meralco,“KAKAPASOK LANG OMG! mga OLlGARKO NAPRANlNG na MERALCO SARADOnani PBBM TULFO SUMALUDO DlLAWAN lYAK .”,JUST IN OMG! OLIGARCHS BECAME PARANOID MERALCO SHUT DOWN BY PBBM TULFO SALUTED YELLOWS WEEP,Fake,TAGALOG,ENGLISH
vera files fact check: doctor on tiktok claim that oral glutathione helps reverse fatty liver is unproven,"“Hindi po nakakasira, actually baliktad. Hindi siya nakakasira, nakakatulong pa siya sa sakit na kung tawagin ay NAFLD or non-alcoholic fatty liver disease.”

Source: Alvin Francisco Official Tiktok Account , Tiktok Gluta capsules: Safe ba sa liver?… , March 25, 2023, watch from 0:22 to 0:30","It’s not destructive, actually it’s the opposite. It’s not destructive, it actually helps with  the disease called NAFLD or non-alcoholic fatty liver disease.",Fake,TAGALOG,ENGLISH
vera files fact check: video falsely claims cayetano has been removed as senator,“KAKAPASOK LANG UMAMIN NA! CAYETANO NAMUTLA sa TAKOT hindi NAKALIGTAS kay PRES BBM SENADO SININGIL NA ”,"Just in, they confessed! Cayetano paled in fear, not unscathed from President Marcos. Senate, charged!",Fake,TAGALOG,ENGLISH
vera files fact check: marcos sr.’s false bar exam grade reappears after release of 2022 bar results,,"“UP Diliman student, Ferdinand Marcos took the 1939 bar exam and his unofficial grade was almost 98%. This was the highest score ever in history of Philippine bar exams  at that time so he was apparently called to appear before the Supreme Court for an oral re-examination after which his official grade was released as 92.35%.”",Fake,ENGLISH,ENGLISH
"vera files fact check: ‘super meal mix nuts’ ads to fight diabetes, cancer are a scam","“Nakagugulat na balita, ni-raid ng mga pulis sa Maynila ang sikat na SM Mall sa Asia kahapon para alamin kung bakit libu-libong tao ang nagtipon sa mahabang pila. Sa pagdating, natuklasan ko na si Dr.WiIIIie-0ng … ay naglulunsad ng Super Meal Mix Nuts”
","Shocking news, the police raided the popular SM Mall of Asia in Manila yesterday to find out why thousands of people are gathering in the long line. Upon arrival, I discovered that [popular cardiologist Doc Willie Ong] is launching Super Meal Mix Nuts.",Real,TAGALOG,ENGLISH
"vera files fact check: video does not show china, ph ‘battle’ in pag-asa island",“CHINA VS PILIPINAS BUMANAT NA  PHILIPPINE VINES BREAKING NEWS VIRAL.”,CHINA VS PHILIPPINES ALREADY HIT!,Fake,TAGALOG,TAGALOG
vera files fact check: up budget not slashed by p2.5b ‘after recent protests’,"“Matapos MANGGULO ang Tinig ng Plaridel | VP SARA at PBBM, TINANGGALAN ng ₱2.5 BILLION PONDO ang UP !!”","After the Tinig ng Plaridel caused chaos | VP SARA and PBBM, stripped P2.5 BILLION FUNDS from UP",Fake,TAGALOG,ENGLISH
vera files fact check: indonesia did not blow up 60 chinese ships,“CHINA NAGKAMALI NG BINANGGA! INDONESIA BIGLANG PUMALAG! PINAGBOBOMBA ANG MGA BARKO NG CHINA! LAGOT !”,China messed with the wrong country! Indonesia fought back! Blew up China’s ships! Oh no,Fake,TAGALOG,ENGLISH
vera files fact check: tolentino representing dela rosa in icc needs context,,"“I accept the letter of proposal of Senator Dela Rosa to lawyer for him … So I am now speaking as a counsel of Senator Dela Rosa.”
Source: News5, Sen. Tolentino, tatayong legal counsel ni Dela Rosa sa kaso niya sa ICC, March 29, 2023, watch from 0:00 to 0:19",Fake,None,ENGLISH
vera files fact check: video misleadingly claims filipinos ‘aged 40 and above can now receive pension’,“GOOD NEWS AGE 40 PATAAS PWEDE NA MAGPENSYON  WOW PINAKAMALAKING BANGKO SA PILIPINAS PBBM BINUBUO NA  Live Today.”,AGE 40 AND ABOVE CAN NOW RECEIVE PENSION,Fake,TAGALOG,ENGLISH
vera files fact check: us coast guard did not sink chinese ships in west ph sea,“US Coast Guard hindi nagpatinag! Pinaputukan umano ang dalawang Chinese warship na nangharang sa WPS ”,USCG unshaken! Fired at two Chinese warships blocking entry to the West Philippine Sea,Fake,TAGALOG,ENGLISH
vera files fact check: cagayan lawmaker claim that business groups flip flopped on support for cha-cha needs context,,"“MBC and Finex are now against Charter amendments. Before this position, they were in favor of changing the Constitution’s economic provisions.”
Source: Rep. Rufus Rodriguez Statement, Manila Bulletin, Malaya, The Philippine Star, March 26, 2023",Fake,None,ENGLISH
vera files fact check: video does not show a german warship in mindanao,“24 ORAS EXPRESS GERMAN WAR SHIP NASA MINDANAO NA  ! WEST PHILIPPINE SEA VINES BREAKING NEWS VIRAL”,GERMAN WARSHIP NOW IN MINDANAO,Fake,TAGALOG,TAGALOG
vera files fact check: marcos wrongly claims that govt appeal with icc has failed,,"“We don’t have a next move. That is the extent of our involvement with the ICC. That ends all our involvement with the ICC because hindi na tayo pwedeng mag-appeal . The appeal has been – the appeal has failed. And there’s – in our view, there is nothing more that we can do in the government.”
Source: RTVMalacañang official YouTube channel, Media Interview by President Ferdinand R. Marcos Jr. following the Pag-IBIG Fund Chairman’s Report , March 28, 2023, watch from 06:50 to 07:13",Real,ENGLISH,ENGLISH
vera files fact check: marcos did not appoint marcoleta as agriculture secretary,“KAKAPASOK LANG  GOODNEWS PBBM BIGLAANG UTOS MARCOLETA BlNlGYAN ng POSlSYON   D.A SECRETARY DlLAWAN IYAK .”,JUST IN,Fake,TAGALOG,ENGLISH
vera files fact check: no basis for claim japanese submarine chased off chinese ships in south china sea,"“Sa kasalukuyan, ang China ay nagtamo ng matinding kahihiyan matapos silang habulin ng isang Japanese submarine. Ang insidente na ito ay naganap sa karagatan ng Timog China… ","Now, China is humiliated after a Japanese submarine chased them off. This incident happened in the South China Sea…",Fake,TAGALOG,ENGLISH
"vera files fact check: padilla echoes marcos, guevarra statements against icc that lack context",,“Our President has made it clear: The ICC has no jurisdiction over the Philippines. Our Solicitor General has also said the Philippines has no legal or moral obligation to cooperate with the ICC.”,Real,None,ENGLISH
vera files fact check: pamphlet in nica orientation bears wrong definition of red-tagging,"“… isang salita na ginawa ng mga CTG upang siraan ang gobyerno na kumikilala lamang sa mga personalidad at mga organisasyon na miyembro, may kaugnayan, o sumusuporta sa komunistang teroristang grupo.”

Source: Peace Philippines, Pamphlet, March 2023","… a word coined by CTGs to discredit the government which recognizes only personalities and organizations that are members [of],  with links [to], or supports communist terrorist groups.",Real,TAGALOG,ENGLISH
"vera files fact check: claim on 200 chinese militia vessels in wps, u.s. action vs china misleads",,“…the United States will send an aircraft carrier battle group supported by air assets and missile defense that are joined by partner naval and air forces to the SCS to cooperatively monitor the Chinese naval threat and other emergent threats to freedom of navigation.”,Fake,None,ENGLISH
vera files fact check: marcos jr.’s repeat claim that rice is now at p25 per kilo needs context,"“‘Yung aking pangarap na sinabi na nung bago akong upo na sana mapababa natin ang presyo ng bigas ng P20; hindi pa tayo umaabot doon, dahan-dahan, palapit. Nasa P25 na lang tayo, kaunti na lang maibababa natin ‘yan.”

Source: RTVMalacanang, Kadiwa ng Pangulo in Pili, Camarines Sur , March 16, 2023, watch from 2:28 – 2:49","My dream that I said when I assumed [the presidency] that hopefully we can bring down the price of rice to P20, we haven’t achieved that, [but] slowly we will get to it. We’re already at P25, just a little more and we’ll be able to lower that [price].",Fake,TAGALOG,ENGLISH
vera files fact check: marcos’ claim on decreasing govt debt misleads,"“Mas mababa ng 16% ang ating inutang para sa 2022 kumpara sa taong 2021! Patunay ito na epektibo ang ating mga polisiya sa pangangasiwa ng ating budget at pagpapababa ng pagdepende natin sa utang para matugunan ang mga pangangailangan natin sa bansa.”

Source: Bongbong Marcos official Facebook page, Mas mababa ng 16% ang ating inutang…, March 13, 2023",We borrowed 16% less in 2022 compared to 2021! This proves the effectiveness of our administration’s policies in budget management and reducing our dependence on foreign loans to meet the country’s needs.,Fake,TAGALOG,ENGLISH
vera files fact check: russia did not donate a warship ‘now in mindanao’,“24 ORAS EXPRESS REGALO NG RUSSIA NASA MINDANAO NA ! PILIPINAS VINES NEWS VIRAL).”,RUSSIA’S GIFT NOW IN MINDANAO,Fake,TAGALOG,TAGALOG
vera files fact check: video does not show first filipino sentenced to death,“pinaka unang Pinoy na nahatulan ng death penalty sa Pinas .”,first Filipino sentenced with death penalty in the Philippines,Fake,TAGALOG,ENGLISH
vera files fact check: marcos did not appoint marcoleta to a cabinet post,“KAKAPASOK LANG DlLAWAN na-SHOCKED! BIGLAANG UTOS ni PRES MARCOS BINIGYAN ng POSISYON CONG MARCOLETA .”,JUST IN YELLOWS were SHOCKED! SUDDEN ORDER of PRES MARCOS GAVE a POSITION CONG MARCOLETA,Fake,TAGALOG,ENGLISH
"vera files fact check: video about p1,000 cash aid for senior citizens needs context","“KAKAPASOK LANG! ATTENTION SENIORS AND FILIPINO. WOW MAY PONDO NA! ANG 1,000 IBIBIGAY! DALAWANG 500 NA IBIBIGAY! OPISYAL NA PAHAYAG !”","Just in! Wow, there are now funds! P1,000 [cash aid] to be given away! It will be distributed as two P500! Official statement",Fake,TAGALOG,ENGLISH
"vera files fact check: divorce bill ok’d on house committee level, not yet law",“Sa wakas approved na ang divorce | Sa nga  gustong makawala jan magdiwang na tayo | Ang tagal ko tong hinintay finally .”,sic,Fake,TAGALOG,ENGLISH
vera files fact check: videos deceptively use doctors’ vlogs to promote magnetic underwear,,"“Most men’s concern want to have a big and healthy “𝐥𝐢𝐭𝐭𝐥𝐞 𝐛𝐨𝐲” !😎
As a doctor, the 𝐬𝐞𝐱𝐮𝐚𝐥 𝐡𝐞𝐚𝐥𝐭𝐡 of Filipino men is my top priority. I always recommend this Magnetic Under.wear , recommended by the 𝐉𝐚𝐩𝐚𝐧 𝐈𝐧𝐬𝐭𝐢𝐭𝐮𝐭𝐞 𝐨𝐟 𝐒𝐞𝐱𝐮𝐚𝐥 𝐇𝐞𝐚𝐥𝐭𝐡”
“Good news for all Filipino men. Increase Size 5-6 c.m More & Solid Like A Rock. Easily with Magnetic Underwear imported from USA ”",Real,ENGLISH,ENGLISH
vera files fact check: video does not show u.s. troops in pag-asa island,“24 ORAS EXPRESS AMERICA AT PILIPINAS BUMANAT NASA WEST PHILIPPINE SEA ! VINES BREAKING NEWS VIRAL.”,AMERICA AND THE PHILIPPINES LAUNCH ATTACKS IN THE WEST PHILIPPINE SEA,Fake,TAGALOG,ENGLISH
vera files fact check: report on chinese military aircraft crash not new,“China kinarma kaagad! Isang Chinese fighter aircraft bumagsak umano sa South China Sea .”,China hit by karma right away! A Chinese fighter aircraft allegedly crashed in the South China Sea,Fake,TAGALOG,ENGLISH
vera files fact check: video claiming marcos against jeepney phaseout needs context,"“Ngayon doon sa issue sa modernization na sinasabi, sa aking palagay ay kailangan ding gawin talaga ‘yan. Ngunit sa pag-aaral ko, parang hindi maganda ang naging implementation nung modernization.”
","Now, on the issue of modernization, I think we really need to do that. But based on what I studied, the program was not implemented well.",Fake,TAGALOG,ENGLISH
vera files fact check: video does not show australian warships in west philippine sea,“24 ORAS EXPRESS AUSTRALIA AT PILIPINAS BUMANAT NASA WEST PHILIPPINE SEA ! VINES BREAKING NEWS VIRAL.”,AUSTRALIA AND THE PHILIPPINES ATTACKED IN THE WEST PHILIPPINE SEA,Fake,TAGALOG,ENGLISH
"vera files fact check: remulla repeats icc jurisdiction, complementarity principle claims lacking context",,"“Excellencies, the Philippines continues its open, constructive, and active engagement on human rights with UN and international stakeholders, including civil society… Yet, we draw the line, as any sovereign state must, when an international institution overreaches and departs from the boundaries of its creation. [I]n this context, the Philippine government rejects the ICC’s decision to resume investigations over alleged crimes committed during [the] anti-illegal drug campaign. The Philippines has a fully functioning justice system. Under the complementarity test, the ICC therefore has no jurisdiction over Filipino citizens whatsoever.”
Source: UN Media, High Level Segment – 52nd regular session of the Human Rights Council , March 1, 2023, watch from 4:52 – 05:03, 7:49 – 8:25",Real,ENGLISH,ENGLISH
vera files fact check: video resurfaces false claim that hontiveros ‘stole’ from philhealth funds,"“RISA IBALIK DAPAT PERA NG PHILHEALTH BAGO NIYA ISULONG NA IBALIK ANG PEOPLE POWER, RISA NAPAHIYA !”","RISA SHOULD RETURN PHILHEALTH’S MONEY BEFORE SHE PROPOSES TO BRING BACK PEOPLE POWER, RISA EMBARRASSED",Fake,TAGALOG,ENGLISH
"vera files fact check: inquirer.net inaccurately reports dela rosa, duterte ‘charged’ in the icc",,"“Dela Rosa and Duterte are among those charged before the ICC for crimes against humanity in connection with the thousands of people killed in their drug war.”
Source: Inquirer.net, Dela Rosa to Spanish lawmaker: How dare you lecture us about human rights? | Global News , Feb. 22, 2023",Fake,ENGLISH,ENGLISH
vera files fact check: make it makati movement backpedals on ‘sharrow’ project,,"“Representatives of the #MakeItSaferMakati movement, Ayala Land, Inc. , and the Makati Business Club’s  Business for Biking Program […] agreed to maintain the protected bike lanes and to jointly study and implement various street design solutions.”
Source: Make It Makati Official Facebook Page, Ayala Land, Inc. and #MakeItSaferMakati movement agree … , Feb. 24, 2023",Real,ENGLISH,TAGALOG
vera files fact check: a death hoax involving kris aquino spreads anew,,“NAKIKIRAMAY! ʀᴀғғʏ TULFO SAKSI SA PAGPANAW NI KRIS AQUINO NGAYONG HAPON! STAGE 5 CANCER ANG DAHILAN (Condolences! Raffy Tulfo witnessed Kris Aquino’s death this afternoon! Stage 5 cancer caused [her death]!”,Real,None,TAGALOG
vera files fact check: russia did not donate attack chopper to ph,“24 ORAS EXPRESS REGALO NG RUSSIA SINUBUKAN NA ! PILIPINAS  VINES NEWS VIRAL.”,GIFT FROM RUSSIA NOW TESTED ! PHILIPPINES,Fake,TAGALOG,ENGLISH
vera files fact check: bantag not back as bucor chief,“SHOCKING! PBBM VPSARA UMAKSYON na BANTAG NABULAGA IBABALIK sa PWESTO  MOTION FOR RECONSIDERATION DOJ.”,PBBM VPSARA has TAKEN ACTION BANTAG SHOCKED WILL BE BACK IN OFFICE,Fake,TAGALOG,ENGLISH
vera files fact check: fake robinsons supermarket page posts bogus giveaway of refrigerators,"“Ikinalulugod kong ipaalam sa iyo na nag-donate kami ng 500 refrigerator na hindi namin naibenta dahil sa mga gasgas at maliit na pinsala.,. kaya ang sinumang magsusulat ng ‘Tapos na’ bago ang Pebrero 28 ay ipapadala nang random .”",We’re happy to inform you that we donated 500 refrigerators we weren’t able to sell because of scratches and minor damages… anyone who types ‘Done’ before 28 will randomly receive [a refrigerator],Fake,TAGALOG,ENGLISH
vera files fact check: jinggoy estrada’s statement on icc complementarity principle misleads,,"“As I have pointed out in Senate Resolution No. 492, our domestic institutions are fully functional and more than capable to address the concerns raised by the Prosecutor of the ICC Karim A. A. Khan QC and our government formally conveyed this to the ICC in a letter dated November 10, 2021. Our Department of Justice and the Philippine National Police-Internal Affairs Service have in fact investigated the alleged crimes committed between July 1, 2016 to March 16, 2019 under the so-called war on drugs campaign and such effort resulted in the filing of four criminal cases before the courts.”
Source: Senate of the Philippines, SENATOR JINGGOY EJERCITO ESTRADA’S RESPONSE TO QUERY ON HIS DECISION TO FILE SRN 492, Feb. 21, 2023",Fake,None,ENGLISH
vera files fact check: marcos’ claim on icc jurisdiction needs context,,"“My position hasn’t changed and I have stated it often even before I took office as president that there are many questions about their jurisdiction and … what can be — what we in the Philippines regard as an intrusion into our internal matters and a threat to our sovereignty.”
Source: RTVMalacanang official YouTube channel, Press Conference  , Feb. 18, 2023, watch from 00:13 to 00:42",Fake,ENGLISH,None
"vera files fact check: marcos, quiboloy did not shut down up diliman",“KAPAPASOK LANG! MATINDI TO! SARAD0 na! PASTOR QUIBULOY SUMAB0G sa GALIT UP DILIMAN GUSTONG IPASA-RA !”,JUST IN! THIS IS INTENSE! NOW CLOSED! PASTOR QUIBULOY BURST IN ANGER WANTS TO CLOSE UP DILIMAN,Fake,TAGALOG,ENGLISH
vera files fact check: bato wrongly claims he is ‘co-accused’ with duterte in icc probe,,"“I am very grateful to our colleagues in the House of Representatives, specially to [Senior Deputy Speaker] GMA for spearheading the resolution. I cannot do the same in the Senate since it is very self-serving on my part being  co-accused with the former president.”
Source: Sen. Ronald “Bato” Dela Rosa official Facebook page, Nagbigay reaksyon si Sen. Bato sa ngayo’y isinusulong na H.Res.780 , Feb. 17, 2023",Real,ENGLISH,ENGLISH
vera files fact check: ‘marcos gold’ not discussed during japan visit,“SA WAKAS HETO NA MARCOS GOLD DOCUMENTS NILABAS .”,FINALLY THIS IS IT MARCOS GOLD DOCUMENTS RELEASED,Fake,TAGALOG,ENGLISH
vera files fact check: remulla not removed as justice sec,“SOJ BOYING SISIBAKIN NA!!! PABIGAT NA SA ADMINISTRASYONG MARCOS!!! ITO PALA ANG DAHILAN …”,SOJ Boying getting axed! A burden in the Marcos administration!!! This is the reason,Fake,TAGALOG,ENGLISH
vera files fact check: sara duterte did not link liza marcos to onion smuggling,“JUSKO PO! PBBM DELIKADO sa MATINDING IBINUNYAG VPSARA DI NA NAKAPAG-PIGIL IBINUNYAG LIZA SMUGGLING .”,OH MY GOD! PBBM IN DANGER with SERIOUS REVELATION VP SARA COULDN’T RESTRAIN HERSELF REVEALED LIZA SMUGGLING,Fake,TAGALOG,ENGLISH
vera files fact check: china’s foreign ministry spokesman falsely claims ayungin shoal is part of china,,"“The Ren’ai Reef is part of China’s Nansha Islands. On February 6, a Philippine Coast Guard vessel intruded into the waters off the Ren’ai Reef without Chinese permission. In accordance with China’s domestic law and international law, including the United Nations Convention on the Law of the Sea , the China Coast Guard ship upheld China’s sovereignty and maritime order and acted in a professional and restrained way.”
Source: China Ministry of Foreign Affairs official website, Foreign Ministry Spokesperson Wang Wenbin’s Regular Press Conference on February 13, 2023  , Feb. 13, 2023",Fake,ENGLISH,ENGLISH
"vera files fact check: viral video shows building scaffold collapse in japan, not turkey",“Grabe nangyari sa turkey nito lang feb 6. 2023. Pag pray po nating sila at lagi din po tayo maging handa at mag iingat .”,What happened in Turkey this Feb. 6 2023 is severe. Let’s pray for them and let’s always be prepared and keep safe,Fake,TAGALOG,ENGLISH
vera files fact check: misleading video claims nlrc wants tulfo out of senate,“HALA! NLRC GUSTO IPATANGGAL SA SENADO SI SEN. TULFO | TAONG BAYAN MAG PEOPLE POWER DAW ?”,Oh no! NLRC wants to Tulfo removed from the Senate | Masses to allegedly stage people power,Fake,TAGALOG,ENGLISH
vera files fact check: raffy tulfo not expelled from the senate,“KAPAPASOK LANG! MATINDI TO! PRES MARCOS MARCOLETA GINULANTANG ang LAHAT RAFFY TULFO TANGAL na SENAD0 .”,JUST IN! THIS IS EXTREME! PRES MARCOS MARCOLETA SHOCKED EVERYONE RAFFY TULFO NOW REMOVED FROM SENATE,Fake,TAGALOG,ENGLISH
vera files fact check: defense chief claims without basis that rotc can ‘cure’ mental health problems,"“Nakikita ko po ‘yung ROTC program, the military training program, experiential po ang training niya; ‘yun ang pagkakaiba po ng tinatawag natin sa NSTP . Ang experience training is talaga pong naisasapuso niya po ang lahat ng ginagawa niya; ‘yung survival instinct nandoon. So ‘yung sinasabi natin ‘yung mental problem, it can be cured, kasi ‘yung frustration tolerance ng isang tao, tataas.”

Source: Senate of the Philippines, Committee on Higher, Technical and Vocational Education , Feb. 6, 2023, watch from 2:02:15 to 02:02:39",National Service Training Program,Real,TAGALOG,ENGLISH
vera files fact check: video of a condo collapse not related to turkey-syria quake,,“Strong 7.8 magnitude Earthquake hits Turkey and Syria. #PrayForTurkey #PrayForSyria #earthquake”,Fake,None,ENGLISH
vera files fact check: dela rosa’s willingness to be hanged over drug-related killings has no basis,"“Pwede niyo akong bitayin dito anytime kung na-prove ninyo diyan na ako’y nagkakasala. You can hang me in front of the Filipino people. You can hang me through the decision of our Filipino courts but, my God, not by a foreigner.”

Source: ABS-CBN News Youtube Channel, Omaga Diaz Report | TeleRadyo , Feb. 4, 2023, watch from 33:41 to 33:56","You can hang me here anytime if you prove that I’ve committed a crime. You can hang me in front of the Filipino people. You can hang me through the decision of our Filipino courts but, my God, not by a foreigner.",Fake,TAGALOG,ENGLISH
vera files fact check: viral video shows wrong suspect in ofw’s rape-slay,“FULL VIDEO OFW SA KUWAIT PIN*ATAY  LATEST UPDATE NAGSALITA NA ANG PUM*ATAY KAY JULLEBEE RANARA BUROL .”,OFW IN KUWAIT KILLED,Real,TAGALOG,ENGLISH
vera files fact check: dela rosa’s statement on icc complementarity principle is misleading,,"“As I have said, they don’t have jurisdiction over us so I have no plans of cooperating with them.”
Source: CNN Philippines official YouTube channel, Senator Bato Dela Rosa | The Source, Feb. 2, 2023, watch from 8:42 to 8:52",Fake,None,ENGLISH
vera files fact check: remulla’s statement asking icc to show ‘pattern’ of drug war killings needs context,,"“If they want us to investigate the pattern, then they should show us the pattern so that we can pick up from what their theory is.”
Source: ANC official YouTube channel, LOOK: DOJ holds press conference as ICC allows resumption of PH drug war probe | ANC, Jan. 27, 2023, watch from 13:56 to 14:05",Fake,None,ENGLISH
vera files fact check: video does not show execution of ofw murder suspect,“Binitay na ang pumatay sa pinay ofw sa kuwait…  JUSTICE WILL PREVAIL ❤️❤️❤️👇👇👇 Grabe ang iyak nang ina nya 👇👇👇”,Suspect behind the death of Filipina OFW in Kuwait hanged to death,Fake,TAGALOG,TAGALOG
